
https://job-boards.greenhouse.io/dataiku/jobs/5420296004	2026-05-29	greenhouse-api	Fullstack Software Engineer - Core	Dataiku	added	Netherlands, Amsterdam; Netherlands, Remote
https://www.samsara.com/company/careers/roles/7619925?gh_jid=7619925	2026-05-29	greenhouse-api	Software Engineer II, AI Platform	Samsara	added	Remote - CA
https://jobs.lever.co/qonto/4869e9a9-001e-4775-a986-458679c1e9ef	2026-05-29	lever-api	Banking Ops Apprentice	Qonto	added	Paris
https://jobs.lever.co/qonto/ff14562e-8a60-440c-a4de-91fa566afd74	2026-05-29	lever-api	Fraud Apprentice - Italian Market 🇮🇹 (Paris/Milan)	Qonto	added	Paris
https://jobs.lever.co/scaleway/b0f0fe3a-3ace-4c93-bbf7-61de22f12c4f	2026-05-29	lever-api	Site Reliability Engineer - SRE	Scaleway	added	Paris
https://jobs.lever.co/scaleway/cbfc06ed-28cc-4248-9ef6-d5b2e0bb7a0d	2026-05-29	lever-api	Software Engineer	Scaleway	added	Paris
https://jobs.lever.co/scaleway/8fc3d64f-6ad3-4ea1-9d91-d4b6068d8708	2026-05-29	lever-api	Software Engineer  Account	Scaleway	added	Paris
https://jobs.lever.co/scaleway/7c87a7c4-3b1b-4f4d-9532-616226c0c6e9	2026-05-29	lever-api	Software Engineer - Compute Marketplace	Scaleway	added	Paris
https://jobs.lever.co/scaleway/934a115a-a248-415f-8637-7aa8c0476b2c	2026-05-29	lever-api	Software Engineer - Developer	Scaleway	added	Paris
https://jobs.lever.co/scaleway/3034a4ec-22e3-4406-a983-5e3d1a1b3d39	2026-05-29	lever-api	Software Engineer - Hardware Development	Scaleway	added	Paris
https://jobs.lever.co/scaleway/99e91737-493e-4bd0-b751-faddbc170b5b	2026-05-29	lever-api	Software Engineer - Network Products Core	Scaleway	added	Paris
https://jobs.lever.co/scaleway/b98b8992-60bc-41b5-98a2-acef5d18919d	2026-05-29	lever-api	Software Engineer - Serverless Compute	Scaleway	added	Paris
https://jobs.lever.co/scaleway/9d712619-a7f9-4f1c-857e-5ddefe09b38e	2026-05-29	lever-api	Software Engineer GO - IAM & Core Services	Scaleway	added	Paris
https://jobs.lever.co/scaleway/06fa88a3-ae7d-436e-bd57-e4039373b337	2026-05-29	lever-api	Software Engineer Network Product Edge	Scaleway	added	Paris
https://careers.datadoghq.com/detail/7976825/?gh_jid=7976825	2026-06-16	greenhouse-api	People Operations Apprentice	Datadog	added	Paris, France
https://jobs.lever.co/qonto/3856d52f-0ce4-43ab-94fe-bbbe8e53f199	2026-06-16	lever-api	Alternance - Collaborateur Comptable	Qonto	added	Paris
